Question,Answer,Category,keywords,lastupdated
How can I register for the free eye screening?,A registration link is provided for the YABATECH community to register for the free eye medical outreach.,Student Affairs,"register, free, eye, screening, registration, link, provided, yabatech, community, medical",2026-06-16
What areas will the collaboration with UK universities cover?,"The collaborations will cover Arts, Science, Technology, Finance, Business, and Social Sciences.",Academic Programs,"areas, will, collaboration, universities, cover, collaborations, arts, science, technology, finance",2026-06-16
When did the 35th Convocation Ceremony take place?,"The 35th Convocation Ceremony took place on November 23, 2023.",General,"did, 35th, convocation, ceremony, take, place, took, november, 2023, general",2026-06-16
What is the username and password for the anthem poll for students?,Username is the Matriculation Number and Password is the Surname.,General,"username, password, anthem, poll, students, matriculation, number, surname, general",2026-06-16
When is the deadline for the Ecobank internship applications?,"The new deadline is Friday, September 27th, 2024.",Student Affairs,"deadline, ecobank, internship, applications, new, friday, september, 27th, 2024, student",2026-06-16
When did part-time lectures get suspended?,"From Monday, September 23, 2024, to Wednesday, October 9, 2024.",Academic Calendar,"did, part, time, lectures, get, suspended, monday, september, 2024, wednesday",2026-06-16
What is the application link for the innovative products call?,https://bit.ly/3yQQREE,General,"application, link, innovative, products, call, https, bit, 3yqqree, general",2026-06-16
What is the application link for the Ecobank internship?,https://bit.ly/EcobankINTERNSHIPopportunities4YABATECH[[18](https://www.google.com/url?sa=E&q=https%3A%2F%2Fvertexaisearch.cloud.google.com%2Fgrounding-api-redirect%2FAUZIYQF488kvaNMAgYJ6UyeXI6pvdf4WHK16HOv6ZLGjnpUleKQhyzGxApYD_6_pJNeTWpNZufRqQJh-ND_Ciyh2WpNMK5lnGLyXRdBp4Tsv95bgLhanvTToLu7ACBM9N_dnsOMOCA%3D%3D)],Student Affairs,"application, link, ecobank, internship, https, bit, ecobankinternshipopportunities4yabatech, www, google, com",2026-06-16
When is the send-forth match for Dr. O.T. Raheem?,"It is on Friday, June 20, 2025.",General,"send, forth, match, raheem, friday, june, 2025, general",2026-06-16
What is the part-payment for school fees for School of Technical Education students?,"N30,000 is required as part-payment to enable registration and examination.",Fees,"part, payment, school, fees, technical, education, students, n30, 000, required",2026-06-16
When is the application for hostel accommodation?,"The application period was from June 4 to June 14, 2024.",Hostel,"application, hostel, accommodation, period, was, june, 2024",2026-06-16
What is the topic of the Rector's one-year anniversary public lecture?,"Leadership and Service: The Need for Creativity, Innovation, and Excellence.",General,"topic, rector, one, year, anniversary, public, lecture, leadership, service, need",2026-06-16
What are the admission requirements for UTME candidates?,"Candidates need 5 O'level credits, including English and Maths, and a minimum JAMB score of 150 for ND or 160 for Degree programs.",Admission,"admission, requirements, utme, candidates, need, level, credits, including, english, maths",2026-06-16
Does Yabatech accept two sittings for O'level results?,"Yes, Yabatech accepts a maximum of two sittings for O'level results for admission.",Admission,"yabatech, accept, two, sittings, level, results, yes, accepts, maximum, admission",2026-06-16
What are the requirements for Direct Entry (DE) admission?,"Direct Entry candidates need 5 SSCE credits, a relevant National Diploma (ND) with at least a Lower Credit grade, and one year of post-ND industrial experience.",Admission,"requirements, direct, entry, admission, candidates, need, ssce, credits, relevant, national",2026-06-16
How do I apply for the Post UTME screening?,You can apply for the Post UTME by visiting the Yabatech application portal online at yabatech.edu.ng.,Admission,"apply, post, utme, screening, visiting, yabatech, application, portal, online, edu",2026-06-16
What is the cost of the Post UTME form?,"The Post UTME screening form costs Two Thousand Naira (N2,000).",Admission,"cost, post, utme, form, screening, costs, two, thousand, naira, 000",2026-06-16
Where can I find the list of available courses?,The official list of all ND and HND courses is available on the Yabatech website.,Academic Programs,"find, list, available, courses, official, all, hnd, yabatech, website, academic",2026-06-16
What are some of the ND courses offered at Yabatech?,"Yabatech offers ND courses such as Accountancy, Computer Science, Mass Communication, Electrical Engineering, and Fashion Design.",Academic Programs,"some, courses, offered, yabatech, offers, such, accountancy, computer, science, mass",2026-06-16
Are there part-time programs available?,"Yes, Yabatech offers part-time programs for students who wish to work and study simultaneously.",Academic Programs,"there, part, time, programs, available, yes, yabatech, offers, students, wish",2026-06-16
What is the HND to Degree conversion program?,"Yabatech, in affiliation with other universities, offers a top-up program that allows HND holders to convert their diplomas to a B.Sc. degree.",Academic Programs,"hnd, degree, conversion, program, yabatech, affiliation, other, universities, offers, top",2026-06-16
What are the requirements for the HND to Degree top-up program?,"A minimum of a Third Class, Pass division, or an HND certificate from a recognized institution is required.",Admission,"requirements, hnd, degree, top, program, minimum, third, class, pass, division",2026-06-16
How can I apply for the HND conversion program?,"Applications are submitted through the partner university's online portal, such as the FUOYE DDTSMS portal.",Admission,"apply, hnd, conversion, program, applications, submitted, through, partner, university, online",2026-06-16
What courses are available for the HND to Degree program?,"Available courses include Accounting, Business Administration, Computer Science, Mass Communication, and various Engineering fields.",Academic Programs,"courses, available, hnd, degree, program, include, accounting, business, administration, computer",2026-06-16
How do I apply for hostel accommodation?,You can apply for the hostel through the student portal after paying your school fees.,Hostel,"apply, hostel, accommodation, through, student, portal, after, paying, school, fees",2026-06-16
Is the hostel application form free?,"Yes, the hostel application form is free, but payment of school fees is a prerequisite to apply.",Hostel,"hostel, application, form, free, yes, but, payment, school, fees, prerequisite",2026-06-16
Is hostel accommodation available for part-time students?,"Yes, hostel accommodation is made available for part-time students, especially during examination periods.",Hostel,"hostel, accommodation, available, part, time, students, yes, made, especially, during",2026-06-16
What is the procedure for hostel application for new students?,"New students must first pay their acceptance fee, complete e-screening, pay school fees, and generate a matriculation number before applying for the hostel.",Hostel,"procedure, hostel, application, new, students, must, first, pay, their, acceptance",2026-06-16
Where can I find the school fees schedule?,The approved school fees schedule for all programs is released by the management and can be found on the Yabatech portal.,Fees,"find, school, fees, schedule, approved, all, programs, released, management, found",2026-06-16
How can I pay my school fees?,School fees can be paid online through the official Yabatech student portal.,Fees,"pay, school, fees, paid, online, through, official, yabatech, student, portal",2026-06-16
Are there different fee structures for full-time and part-time students?,"Yes, the school fees schedule is different for full-time and part-time students across ND, HND, and degree programs.",Fees,"there, different, fee, structures, full, time, part, students, yes, school",2026-06-16
What does the acceptance fee cover?,The acceptance fee is a mandatory payment for newly admitted students to confirm their admission offer.,Fees,"acceptance, fee, cover, mandatory, payment, newly, admitted, students, confirm, their",2026-06-16
What is the ND 1 full-time school fee?,"The school fee for new ND 1 full-time students is approximately N45,500, subject to management's review.",Fees,"full, time, school, fee, new, students, approximately, n45, 500, subject",2026-06-16
What is the HND 1 full-time school fee?,"The school fee for new HND 1 full-time students is approximately N45,500, subject to management's review.",Fees,"hnd, full, time, school, fee, new, students, approximately, n45, 500",2026-06-16
How can I get the academic calendar?,The approved academic calendar is released by the management and contains all important dates for the session.[17][18],Academic Calendar,"get, academic, calendar, approved, released, management, contains, all, important, dates",2026-06-16
What information is in the academic calendar?,"The calendar includes dates for resumption, registration, lectures, exams, and holidays for the academic session.[17][18]",Academic Calendar,"information, academic, calendar, includes, dates, resumption, registration, lectures, exams, holidays",2026-06-16
When does registration for fresh students begin?,The registration period for new students is indicated in the first semester academic calendar.,Academic Calendar,"registration, fresh, students, begin, period, new, indicated, first, semester, academic",2026-06-16
Are lectures conducted physically or online?,"The college uses a blend of physical and online lectures, and the specific mode is usually communicated via official channels.",General,"lectures, conducted, physically, online, college, uses, blend, physical, specific, mode",2026-06-16
What is the attendance requirement for exams?,Students must have at least 75% lecture attendance to be eligible to sit for examinations.,Exams,"attendance, requirement, exams, students, must, have, least, lecture, eligible, sit",2026-06-16
Where can I find information about examinations?,"The examination schedule, including dates for mid-semester tests and final exams, is detailed in the academic calendar.",Exams,"find, information, about, examinations, examination, schedule, including, dates, mid, semester",2026-06-16
Are there internship opportunities for students?,"Yes, the college collaborates with companies like Ecobank and Dangote Cement to provide internship opportunities for students.",Student Affairs,"there, internship, opportunities, students, yes, college, collaborates, companies, like, ecobank",2026-06-16
How can I apply for internship placements?,"Students can apply for internship opportunities through links shared by the Centre for Linkages, Partnerships, and International Relations (CLPIR).",Student Affairs,"apply, internship, placements, students, opportunities, through, links, shared, centre, linkages",2026-06-16
What is the Students' Union Government (SUG)?,The SUG is the official student representative body that advocates for students' needs and welfare.,Student Affairs,"students, union, government, sug, official, student, representative, body, that, advocates",2026-06-16
Are there student support schemes available?,The SUG has initiatives like a work-study scheme to support students' academic pursuits.,Student Affairs,"there, student, support, schemes, available, sug, has, initiatives, like, work",2026-06-16
Does the college have an entrepreneurship center?,"Yes, Yabatech has a Centre for Entrepreneurship Development to foster enterprise skills among students.",General,"college, have, entrepreneurship, center, yes, yabatech, has, centre, development, foster",2026-06-16
Is Yabatech being upgraded to a university?,"Yes, there are ongoing plans and approvals for the conversion of Yabatech to a university.",General,"yabatech, being, upgraded, university, yes, there, ongoing, plans, approvals, conversion",2026-06-16
Does Yabatech have an alumni association?,"Yes, the Yabatech Alumni Association is active and works with the college management for development.",General,"yabatech, have, alumni, association, yes, active, works, college, management, development",2026-06-16
Are there international collaboration programs?,"Yabatech has partnerships with international institutions, including universities in the UK and China, for exchange programs and research.",Academic Programs,"there, international, collaboration, programs, yabatech, has, partnerships, institutions, including, universities",2026-06-16
How can I get my transcript?,Transcript applications can be processed through the Alumni Relations office or the college's official channels.,General,"get, transcript, applications, processed, through, alumni, relations, office, college, official",2026-06-16
Is there a student loan scheme available?,The Federal Government's Student Loan Scheme is expected to be accessible to students to fund their education.,Fees,"there, student, loan, scheme, available, federal, government, expected, accessible, students",2026-06-16
What is the requirement for SIWES (Industrial Training)?,ND II students are required to participate in the Students Industrial Work Experience Scheme (SIWES).,Academic Programs,"requirement, siwes, industrial, training, students, required, participate, work, experience, scheme",2026-06-16
How do I register for courses?,Course registration is done online through the student portal at the beginning of each semester.,General,"register, courses, course, registration, done, online, through, student, portal, beginning",2026-06-16
What happens if I miss the registration deadline?,Late registration is usually allowed for a specific period but attracts a penalty fee.,Fees,"happens, miss, registration, deadline, late, usually, allowed, specific, period, but",2026-06-16
What is the process for new student screening?,New students must undergo both online and physical screening and upload required documents like O'level results and birth certificates.,Admission,"process, new, student, screening, students, must, undergo, both, online, physical",2026-06-16
How do I generate my matriculation number?,A matriculation number is generated for new students on the e-screening portal after completing the initial registration steps.,Admission,"generate, matriculation, number, generated, new, students, screening, portal, after, completing",2026-06-16
Are there special programs for female empowerment?,"Yes, the Girls' Empowerment Skills Programme (GESP) provides technical skills training for young women.",Student Affairs,"there, special, programs, female, empowerment, yes, girls, skills, programme, gesp",2026-06-16
Does the college have a radio station?,"Yes, Yabatech has a campus radio station that disseminates information and news.",General,"college, have, radio, station, yes, yabatech, has, campus, that, disseminates",2026-06-16
How can I stay updated with college news?,"Students can stay updated through the official college website, newsletters, and official social media channels.[19][20]",General,"stay, updated, college, news, students, through, official, website, newsletters, social",2026-06-16
Are there medical services available on campus?,"Yes, the college provides medical services for students.",Student Affairs,"there, medical, services, available, campus, yes, college, provides, students, student",2026-06-16
What is the contact information for the registrar's office?,The registrar's office can be contacted via email at registrar@yabatech.edu.ng.,General,"contact, information, registrar, office, contacted, via, email, yabatech, edu, general",2026-06-16
Does the college offer courses in Photography?,"Yes, Yabatech has admission opportunities in Photography.",Academic Programs,"college, offer, courses, photography, yes, yabatech, has, admission, opportunities, academic",2026-06-16
Are there courses in Mineral and Petroleum Resources Engineering?,"Yes, the college offers programs in Mineral and Petroleum Resources Engineering.",Academic Programs,"there, courses, mineral, petroleum, resources, engineering, yes, college, offers, programs",2026-06-16
"What is the purpose of the Centre for Linkages, Partnerships, and International Relations (CLPIR)?","The CLPIR facilitates collaborations, internships, and international opportunities for students and staff.",General,"purpose, centre, linkages, partnerships, international, relations, clpir, facilitates, collaborations, internships",2026-06-16
Does the college organize medical outreach programs?,"Yes, Yabatech periodically hosts free medical outreach programs, including eye screenings and surgeries, for the community.",Student Affairs,"college, organize, medical, outreach, programs, yes, yabatech, periodically, hosts, free",2026-06-16
How can I apply for the Post-UTME for the B.Sc. (Edu.) program?,The Post-UTME application process is the same for both ND and B.Sc. in Technical Education programs affiliated with UNN.,Admission,"apply, post, utme, edu, program, application, process, same, both, technical",2026-06-16
What is the UTME score requirement for the B.Sc. program?,The cut-off mark for the B.Sc. in Technical Education program is typically 160.,Admission,"utme, score, requirement, program, cut, off, mark, technical, education, typically",2026-06-16
Where is the second campus of Yabatech located?,"Yabatech has a second campus located in Epe, Lagos State.",General,"second, campus, yabatech, located, has, epe, lagos, state, general",2026-06-16
Which departments are at the Epe campus?,The Epe campus houses departments like Agricultural Technology and the School of Technical Education.,General,"which, departments, epe, campus, houses, like, agricultural, technology, school, technical",2026-06-16
What is the procedure for final clearance?,"After completing online registration and screening, students visit the admissions office with original documents for final clearance.",Admission,"procedure, final, clearance, after, completing, online, registration, screening, students, visit",2026-06-16
Does the college have a dress code?,Students are expected to adhere to the dress code as stipulated in the Students' Handbook.,Student Affairs,"college, have, dress, code, students, expected, adhere, stipulated, handbook, student",2026-06-16
How can I report a grievance?,Grievances can be channeled through the Students' Union Government or the Dean of Students' Affairs office.,Student Affairs,"report, grievance, grievances, channeled, through, students, union, government, dean, affairs",2026-06-16
Are there scholarships available?,The college and its partners sometimes offer scholarships and awards to outstanding students.,Fees,"there, scholarships, available, college, its, partners, sometimes, offer, awards, outstanding",2026-06-16
Can I defer my admission?,"Yes, students can apply for deferment of admission through the appropriate college channels, subject to approval.",Admission,"defer, admission, yes, students, apply, deferment, through, appropriate, college, channels",2026-06-16
What is the procedure for changing my course?,"Change of course is subject to availability and meeting the requirements for the new course, processed through JAMB and the college.",Admission,"procedure, changing, course, change, subject, availability, meeting, requirements, new, processed",2026-06-16
Is there a student handbook?,"Yes, the Students' Handbook contains all the rules, regulations, and policies governing student conduct.",Student Affairs,"there, student, handbook, yes, students, contains, all, rules, regulations, policies",2026-06-16
Are there sports facilities on campus?,"Yes, the college has a sports complex and encourages students to participate in sporting activities.",Student Affairs,"there, sports, facilities, campus, yes, college, has, complex, encourages, students",2026-06-16
What is the role of a class adviser?,Class advisers provide academic guidance and support to students in their respective departments.,General,"role, class, adviser, advisers, provide, academic, guidance, support, students, their",2026-06-16
How are part-time lectures scheduled?,"Part-time lectures for some programs are scheduled for evenings (e.g., 5 PM - 9 PM) and weekends.",Academic Programs,"part, time, lectures, scheduled, some, programs, evenings, weekends, academic",2026-06-16
Is the college involved in Artificial Intelligence (AI) initiatives?,"Yes, the college is planning to establish an Artificial Intelligence and Robotics hub and encourages research in AI.",General,"college, involved, artificial, intelligence, initiatives, yes, planning, establish, robotics, hub",2026-06-16
What should I do if I have issues with my registration?,"If you encounter registration issues, you can visit the help desk or use the online support portal on the college website.[4]",General,"should, have, issues, registration, encounter, visit, help, desk, use, online",2026-06-16
Can I combine WAEC and NECO results for admission?,"Yes, Yabatech allows the combination of results from a maximum of two sittings for admission.",Admission,"combine, waec, neco, results, admission, yes, yabatech, allows, combination, maximum",2026-06-16
Is there a penalty for cult-related activities?,"The college has a zero-tolerance policy for cultism, and any student found guilty faces severe sanctions, including suspension.",Student Affairs,"there, penalty, cult, related, activities, college, has, zero, tolerance, policy",2026-06-16
How can I access e-learning resources?,The college provides an e-learning platform for students to access course materials and online classes.,General,"access, learning, resources, college, provides, platform, students, course, materials, online",2026-06-16
What is the duration of the ND program?,"The National Diploma (ND) program is typically a two-year program, including industrial training.",Academic Programs,"duration, program, national, diploma, typically, two, year, including, industrial, training",2026-06-16
What is the duration of the HND program?,The Higher National Diploma (HND) program is also a two-year program.,Academic Programs,"duration, hnd, program, higher, national, diploma, also, two, year, academic",2026-06-16
Do I need JAMB for HND admission?,"No, JAMB is not required for HND admission, but you need a relevant National Diploma.",Admission,"need, jamb, hnd, admission, not, required, but, relevant, national, diploma",2026-06-16
How can I get a replacement for a lost ID card?,Students who lose their ID card can apply for a replacement through the Students' Affairs office.,Student Affairs,"get, replacement, lost, card, students, lose, their, apply, through, affairs",2026-06-16
Are there banking facilities on campus?,"Yes, there are commercial banks and ATM points available on campus for students' convenience.",General,"there, banking, facilities, campus, yes, commercial, banks, atm, points, available",2026-06-16
What is the process to get a confirmation of my statement of result?,You can apply for confirmation of your statement of result through the college's alumni portal or registry.,General,"process, get, confirmation, statement, result, apply, through, college, alumni, portal",2026-06-16
Does the college offer weekend-only programs?,"Yes, there are HND and ND weekend programs for courses like Accountancy and Business Administration.",Academic Programs,"college, offer, weekend, only, programs, yes, there, hnd, courses, like",2026-06-16
Is accommodation guaranteed for all fresh students?,Hostel accommodation is not guaranteed for all students as it is limited and allocated based on application.,Hostel,"accommodation, guaranteed, all, fresh, students, hostel, not, limited, allocated, based",2026-06-16
What is 'SEMIC' in the academic calendar?,"SEMIC refers to the School Examinations Misconduct and Irregularities Committee, which reviews cases of exam malpractice.",Exams,"semic, academic, calendar, refers, school, examinations, misconduct, irregularities, committee, which",2026-06-16
Can I run a business on campus as a student?,"Students can engage in entrepreneurial activities, and the college's entrepreneurship center provides support.",Student Affairs,"run, business, campus, student, students, engage, entrepreneurial, activities, college, entrepreneurship",2026-06-16
What are the library opening hours?,The library opening and closing hours are typically displayed at the library entrance and on the college website.,General,"library, opening, hours, closing, typically, displayed, entrance, college, website, general",2026-06-16
How do I get my matriculation gown?,Information regarding the collection of matriculation gowns is usually communicated to fresh students before the ceremony.,General,"get, matriculation, gown, information, regarding, collection, gowns, usually, communicated, fresh",2026-06-16
Is there a fee for verification of credentials?,"Yes, a fee for verification of credentials is part of the school fees for new students.",Fees,"there, fee, verification, credentials, yes, part, school, fees, new, students",2026-06-16
What is the 'Development Levy' for?,The Development Levy is a component of the school fees used for infrastructural development and maintenance in the college.,Fees,"development, levy, component, school, fees, used, infrastructural, maintenance, college",2026-06-16
Are there opportunities to study abroad through Yabatech?,"Yes, through partnerships with foreign institutions, there are opportunities for student exchange and further studies.",Academic Programs,"there, opportunities, study, abroad, through, yabatech, yes, partnerships, foreign, institutions",2026-06-16
Who is the current Rector of Yabatech?,The current Rector is Dr. Engr. Ibraheem Adedotun Abdul.,General,"current, rector, yabatech, engr, ibraheem, adedotun, abdul, general",2026-06-16
What is the full meaning of YABATECH?,YABATECH stands for Yaba College of Technology.,General,"full, meaning, yabatech, stands, yaba, college, technology, general",2026-06-16
When was Yabatech established?,Yaba College of Technology was established in 1947.,General,"was, yabatech, established, yaba, college, technology, 1947, general",2026-06-16
Is Yabatech a federal or state institution?,Yabatech is a federal polytechnic funded and managed by the federal government of Nigeria.,General,"yabatech, federal, state, institution, polytechnic, funded, managed, government, nigeria, general",2026-06-16
Where is Yabatech located?,"The main campus is located at Herbert Macaulay Road, Yaba, Lagos.",General,"yabatech, located, main, campus, herbert, macaulay, road, yaba, lagos, general",2026-06-16
What is the admission cut-off mark for ND programs?,The general cut-off mark for ND programs is 150 in the UTME.,Admission,"admission, cut, off, mark, programs, general, 150, utme",2026-06-16
Do I need to participate in Post UTME screening after meeting the cut-off mark?,"Yes, participation in the Post UTME screening is mandatory for all eligible candidates.",Admission,"need, participate, post, utme, screening, after, meeting, cut, off, mark",2026-06-16
What O'level subjects are required for Computer Science?,"The required O'level subjects typically include English, Mathematics, Physics, and two other science subjects.",Admission,"level, subjects, required, computer, science, typically, include, english, mathematics, physics",2026-06-16
What is the school fee for ND 2 full-time students?,"The school fee for ND 2 full-time students is approximately N33,000.",Fees,"school, fee, full, time, students, approximately, n33, 000, fees",2026-06-16
What is the school fee for HND 2 full-time students?,"The school fee for HND 2 full-time students is approximately N33,000.",Fees,"school, fee, hnd, full, time, students, approximately, n33, 000, fees",2026-06-16
Are there part-time degree programs?,"Yes, the college offers part-time degree (B.Sc.) programs with varying fee structures.",Academic Programs,"there, part, time, degree, programs, yes, college, offers, varying, fee",2026-06-16
How much is the school fee for part-time ND 1?,"The school fee for part-time ND 1 students is approximately N75,000.",Fees,"much, school, fee, part, time, students, approximately, n75, 000, fees",2026-06-16
What is the prerequisite for hostel application?,Payment of school fees is the main prerequisite for applying for hostel accommodation.,Hostel,"prerequisite, hostel, application, payment, school, fees, main, applying, accommodation",2026-06-16
How can new students complete their registration?,"New students complete registration by paying acceptance and school fees, undergoing e-screening, and then registering on the student portal.",Admission,"new, students, complete, their, registration, paying, acceptance, school, fees, undergoing",2026-06-16
What documents are needed for e-screening?,"Documents include O'level results, testimonial, birth certificate, JAMB admission letter, and reference letters.",Admission,"documents, needed, screening, include, level, results, testimonial, birth, certificate, jamb",2026-06-16
Are there specific lecture days for part-time studies?,"Yes, many part-time programs have lectures on weekdays from 5:00 PM to 9:00 PM or on weekends.",Academic Calendar,"there, specific, lecture, days, part, time, studies, yes, many, programs",2026-06-16
What is the Yabatech motto?,"The motto is ""Labore et Veritate,"" which means ""Through Work and Truth.""",General,"yabatech, motto, labore, veritate, which, means, through, work, truth, general",2026-06-16
Does Yabatech have a student email system?,"Yes, the college provides official email addresses for students and staff.",General,"yabatech, have, student, email, system, yes, college, provides, official, addresses",2026-06-16
Is the student union compulsory?,Membership in the student union is generally automatic for all registered students.,Student Affairs,"student, union, compulsory, membership, generally, automatic, all, registered, students, affairs",2026-06-16
What is the 'Matriculation Ceremony'?,The matriculation ceremony is the official event to formally admit new students into the college.,General,"matriculation, ceremony, official, event, formally, admit, new, students, into, college",2026-06-16
Are there any special training programs for graduating students?,"Yes, the college facilitates specialized training, such as the Telecommunication Training, for graduating students to enhance their skills.",Student Affairs,"there, any, special, training, programs, graduating, students, yes, college, facilitates",2026-06-16
How do I apply for the NBC Technical Training placement?,Eligible graduates can register for the NBC Technical Training placement using the application link provided by the college.,Student Affairs,"apply, nbc, technical, training, placement, eligible, graduates, register, using, application",2026-06-16
What is the eligibility for the NBC training program?,It is open to Yabatech graduates from specific engineering and IT-related disciplines.,Student Affairs,"eligibility, nbc, training, program, open, yabatech, graduates, specific, engineering, related",2026-06-16
Does the college offer skill acquisition programs?,"Yes, the college runs various skill acquisition programs, some in partnership with organizations like UNICEF.",Academic Programs,"college, offer, skill, acquisition, programs, yes, runs, various, some, partnership",2026-06-16
How can students with innovative ideas get support?,The Centre for Technology Marketing and Product Development (CTMPD) calls for innovative products from staff and students to provide support.,General,"students, innovative, ideas, get, support, centre, technology, marketing, product, development",2026-06-16
Is it possible to do a change of institution to Yabatech?,"Yes, candidates who did not initially choose Yabatech can do a change of institution through JAMB.",Admission,"possible, change, institution, yabatech, yes, candidates, did, not, initially, choose",2026-06-16
What is the fee for the part-time hostel accommodation?,"The fee for part-time hostel accommodation during exams was recently set at N10,000.",Hostel,"fee, part, time, hostel, accommodation, during, exams, was, recently, set",2026-06-16
Where can I get help with the application process?,"For any issues with applications, you can contact the Admissions Department or use the help desk link on the website.",General,"get, help, application, process, any, issues, applications, contact, admissions, department",2026-06-16
Is Yabatech the first higher institution in Nigeria?,"Yes, Yaba College of Technology is Nigeria's first institution of higher learning.",General,"yabatech, first, higher, institution, nigeria, yes, yaba, college, technology, learning",2026-06-16
Does Yabatech offer HND in Mass Communication?,The program is now called Journalism and Media Studies at the HND level.,Academic Programs,"yabatech, offer, hnd, mass, communication, program, now, called, journalism, media",2026-06-16
What are the options under HND Computer Science?,The HND Computer Science program has options like Software and Web Development or Networking and Cloud Computing.,Academic Programs,"options, under, hnd, computer, science, program, has, like, software, web",2026-06-16
Are there weekend HND programs at the Epe Campus?,"Yes, weekend HND programs like Accountancy and Business Administration are offered at the Epe campus.",Academic Programs,"there, weekend, hnd, programs, epe, campus, yes, like, accountancy, business",2026-06-16
How long is the SIWES program for ND students?,"The SIWES program for ND II students runs for a duration specified in the academic calendar, often around 14 weeks.[18]",Academic Programs,"long, siwes, program, students, runs, duration, specified, academic, calendar, often",2026-06-16
What is the next step after paying the acceptance fee?,"After paying the acceptance fee, the next step is to begin the e-screening process by uploading your documents.",Admission,"next, step, after, paying, acceptance, fee, begin, screening, process, uploading",2026-06-16
How do I update my biodata on the student portal?,"After generating your matric number, you can log into the student portal to update your biodata and complete semester registration.",General,"update, biodata, student, portal, after, generating, matric, number, log, into",2026-06-16
What is the Students' Association Week?,"It is a week dedicated to activities, events, and programs organized by various student associations on campus.",Student Affairs,"students, association, week, dedicated, activities, events, programs, organized, various, student",2026-06-16
How are exam results released?,Exam results are considered by the Academic Board and then released to students online via the portal.,Exams,"exam, results, released, considered, academic, board, then, students, online, via",2026-06-16
Can I get admission without JAMB?,Admission into the National Diploma (ND) program requires a UTME score; it is a mandatory requirement.,Admission,"get, admission, without, jamb, into, national, diploma, program, requires, utme",2026-06-16
Does the school offer pre-ND programs?,Information on pre-ND or preparatory programs would be available on the college's official admissions page.,Admission,"school, offer, pre, programs, information, preparatory, would, available, college, official",2026-06-16
What is the dress code for examinations?,Students must adhere to the official dress code and present their exam docket to be allowed into the examination hall.,Exams,"dress, code, examinations, students, must, adhere, official, present, their, exam",2026-06-16
Is there a wifi facility on campus for students?,The Students' Union Government has plans to establish Wi-Fi facilities on campus for students.,General,"there, wifi, facility, campus, students, union, government, has, plans, establish",2026-06-16
How does the college support student entrepreneurs?,The college supports student entrepreneurs through its entrepreneurship center and by showcasing innovative student products.,Student Affairs,"college, support, student, entrepreneurs, supports, through, its, entrepreneurship, center, showcasing",2026-06-16
Are there opportunities for research grants for students?,"While most research grants target faculty, some initiatives and competitions may provide funding for innovative student projects.",General,"there, opportunities, research, grants, students, while, most, target, faculty, some",2026-06-16
How does the college handle exam malpractice?,"The college has a strict policy against exam malpractice, and cases are handled by the School Examinations Misconduct and Irregularities Committee (SEMIC).",Exams,"college, handle, exam, malpractice, has, strict, policy, against, cases, handled",2026-06-16
What is the role of the Dean of Students' Affairs?,The Dean of Students' Affairs is responsible for the general welfare and discipline of all students.,Student Affairs,"role, dean, students, affairs, responsible, general, welfare, discipline, all, student",2026-06-16
Can I get a refund of my school fees?,School fees paid to the college are generally non-refundable.,Fees,"get, refund, school, fees, paid, college, generally, non, refundable",2026-06-16
What is the procedure for collecting my certificate after graduation?,Graduates are informed about the certificate collection procedure through official announcements from the registry department.,General,"procedure, collecting, certificate, after, graduation, graduates, informed, about, collection, through",2026-06-16
Are there postgraduate programs at Yabatech?,"As a polytechnic, Yabatech's highest qualifications are the HND and professional diplomas, but it offers B.Sc. programs in affiliation with universities.",Academic Programs,"there, postgraduate, programs, yabatech, polytechnic, highest, qualifications, hnd, professional, diplomas",2026-06-16
Is there a guidance and counseling unit for students?,"Yes, the college has a counseling unit to provide academic, personal, and career guidance to students.",Student Affairs,"there, guidance, counseling, unit, students, yes, college, has, provide, academic",2026-06-16
How can I get an official transcript sent to another institution?,Students and alumni can apply online for their official transcripts to be sent to other institutions.,General,"get, official, transcript, sent, another, institution, students, alumni, apply, online",2026-06-16
What is the policy on late submission of assignments?,Policies on late submission of coursework are typically set by individual lecturers or departments.,Exams,"policy, late, submission, assignments, policies, coursework, typically, set, individual, lecturers",2026-06-16
Are there any student exchange programs with local universities?,"Yabatech has research collaborations with other Nigerian universities like Usman Danfodio University, which may include exchange programs.",Academic Programs,"there, any, student, exchange, programs, local, universities, yabatech, has, research",2026-06-16
How can I join a student club or association?,Students can join registered clubs and associations during the Student/Association Week or by contacting the group leaders.,Student Affairs,"join, student, club, association, students, registered, clubs, associations, during, week",2026-06-16
Is it mandatory to attend the matriculation ceremony?,"Yes, matriculation is a compulsory ceremony for all newly admitted students to be officially enrolled in the college.",General,"mandatory, attend, matriculation, ceremony, yes, compulsory, all, newly, admitted, students",2026-06-16
What is the process for IT/SIWES placement?,"The college's SIWES unit assists students in finding placements for their industrial training, though students can also source for placements themselves.",Academic Programs,"process, siwes, placement, college, unit, assists, students, finding, placements, their",2026-06-16
How do I get a letter of recommendation from the college?,Students can request a letter of recommendation from their Head of Department or other academic staff who know them well.,General,"get, letter, recommendation, college, students, request, their, head, department, other",2026-06-16
